country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Angola,Africa,Middle Africa,No data,12.76,13.74,14.77,15.04,12.84,15.96,18.58,45.6,-14.63
Cameroon,Africa,Middle Africa,No data,No data,9.01,10.27,16.60,6.79,9.83,9.94,10.3,-59.10
Congo,Africa,Middle Africa,No data,No data,17.85,16.20,24.12,27.94,43.73,35.94,101.3,15.84
DR Congo,Africa,Middle Africa,No data,No data,7.55,9.82,11.46,9.95,11.91,38.03,403.7,-13.18
Equatorial Guinea,Africa,Middle Africa,No data,No data,No data,No data,12.17,6.29,No data,No data,-48.3,-48.32
Gabon,Africa,Middle Africa,No data,No data,23.18,20.88,20.62,40.58,34.20,41.42,78.7,96.80
